name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
Mukhyamantri Krishak Mitra Yojana,mkmy,"The scheme aims to create necessary infrastructure by the distribution company for providing permanent pump connections to farmers or groups of farmers.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhya Mantri Krishak Samriddhi Yojana,mmksy-mp,"The scheme aims to incentivize farmers for improving production and quality of specific Rabi and Kharif crops by providing an incentive payment over and above the Minimum Support Price received. It provides varying financial incentives per quintal to registered farmers selling wheat, paddy, etc.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Krishak Samridhi Yojana (Madhya Pradesh),mukhyamantri-krishak-samridhi-yojana-madhya-pradesh,Bonus over MSP for wheat and rice procurement from farmers in MP to ensure better returns for agricultural produce.,Rs. 160 per quintal bonus over MSP for wheat. Rs. 100 per quintal bonus for paddy. Direct payment to farmer's account.,Farmers in MP selling produce at government procurement centers. Registered on e-Uparjan portal.,Register on e-Uparjan portal. Sell produce at procurement center. Bonus credited to bank account.,Land records. Aadhaar Card. Bank account details. e-Uparjan registration.,,state,active,embedded,"{male,female,transgender}",,,,,,,,f,,,,
Mukhyamantri Krishi Ashirwad Yojana (Jharkhand),mukhyamantri-krishi-ashirwad-yojana-jharkhand,Direct benefit transfer for small and marginal farmers in Jharkhand providing per-acre financial assistance for Kharif crops.,"Rs. 5,000 per acre per year (max 5 acres = Rs. 25,000). Paid before Kharif season. Directly to bank account.",Small and marginal farmers in Jharkhand with up to 5 acres. Land must be registered. Must not be government employee.,Automatic identification through land records. Registration at Block agriculture office.,Land records. Aadhaar Card. Bank account details.,,state,active,embedded,"{male,female,transgender}",,,,,,,,f,,,,
Mukhya Mantri Krishi Sa Sajuli Yozana - Assam,mmkssy-assam,The scheme “Mukhya Mantri Krishi Sa Sajuli Yojana” is a State Owned Priority Development (SOPD) scheme for farmers launched by the Assam government in FY 2018-19.  The main purpose of launching this scheme for farmers is their holistic development by implementing several farm mechanization schemes.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Krishi Utpadan Sanrakshan Yojana,mkusy,"The scheme “Mukhyamantri Krishi Utpadan Sanrakshan Yojana” was launched by Dept. of Agriculture, Govt. of Himachal Pradesh by merging 3 ongoing protection-based Departmental schemes namely Sour Badhbandi, Anti-Hail Net Structure & Green House Renovation into single scheme having a common objective.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,mmksy,Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY) is a scheme launched by the Government of Gujarat to empower women farmers in the state. The scheme was announced in the 2018-19 budget and is being implemented by the Department of Agriculture and Co-operation. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Matsya Sampada Yojana,cmfs,"The scheme aims to enhance fish production, generate employment opportunities, and improve the livelihoods of fish farmers by providing free training, field visits, and seminars on various fisheries-related activities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Pragatishil Pashupalak Protsahan Yojana,mpppy,"The ""Mukhyamantri Pragatisheel Pashupalak Protsahan Yojana"" is an initiative under the ""Nand Baba Milk Mission"" aimed to encourage the trend of rearing indigenous breed of cows with high quality and productivity in the state & motivate cattle farmers for breed improvement of cows, their better care.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Rajya Krishi Vikas Yojana,mrkvy,"The scheme aims to help sugarcane farmers grow better crops, increase production, improve sugar quality, and provide support through high-quality seeds, modern techniques, mechanization, crop protection, and advanced farming practices.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Samekit Chaur Vikas Yojana,mmscvy,"The ""Mukhyamantri Samekit Chaur Vikas Yojana"" under Seven Nishchay-2, aims to develop undeveloped and unutilized private land in Bihar for fish-based integrated aquaculture. With a budget of ₹2972.79 lakh, the scheme targets the sustainable development of 600 hectares of Chaur land, enhancing fish.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Sudharit Kamdhenu Scheme,msks,"The scheme aims to help the farmers to get financial assistance for the purchase of cross bred cows, improved she buffaloes and cows of indigenous breeds namely Sahiwal, Gir, Red Sindhi, Rathi and Tharparkar for their Dairy Unit, to promote self employment in the Dairy Sector.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Svadeshi Gau Samvardhan Yojana,msgsy,"The ""Mukhyamantri Svadeshi Gau Samvardhan Yojana"" under the ""Nand Baba Milk Mission"" aims to enhance milk productivity and per capita milk availability in Uttar Pradesh by encouraging the purchase of indigenous improved breed cows from outside the state and employment opportunities in rural areas. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mukhyamantri Vriksharopan Protsahan Yojana,mvp,Chhattisgarh Mukhyamantri Vriksharopan Protsahan Yojana has been started by the Government of Chhattisgarh with the aim of conserving the environment and doubling the income of the farmers by promoting tree plantation in the state.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mushroom Kit Vitaran,mkvb,"The scheme aims to provide subsidized mushroom kits and training to farmers, promoting mushroom cultivation as a sustainable livelihood opportunity.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mushroom Production,fsf,"The scheme aims to promote and support mushroom cultivation in the state by providing financial assistance and subsidies for establishing mushroom, compost, and spawn production units, thereby enhancing both farmer income and overall mushroom production in Uttarakhand.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Mushroom Production and Marketing Scheme,mpms,"The scheme aims to promote mushroom cultivation among farmers by providing subsidized inputs, training, and support for marketing, thereby increasing their income and encouraging entrepreneurship in the sector.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Nalkoop Khanan Yojana- Madhya Pradesh,nkymp,"Under this scheme, farmers from SC and ST categories are eligible for a subsidy covering 75% of the unit cost (up to ₹25,000/-) for digging a tube well and 75% of the unit cost (up to ₹15,000/-) for the successful installation of a tube well submersible pump.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Namami Gange Yojana- Uttarakhand,ngy-uk,The scheme aims to promote sustainable and organic farming practices among farmers residing in villages along the banks of the Ganga and its tributaries.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Namo Shetkari Mahasanman Nidhi Yojana,namo-shetkari-mahasanman-nidhi-yojana,"To increase the income of farmers, State government has announced ""Namo Shetkari Mahasanman Nidhi Yojana"" in which cultivable land holding farmer families of the state will get an additional amount of Rs. 6000/- per year (along with Rs. 6000/- through Pradhan Mantri Kisan Samman Nidhi Yojana",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Nanaji Deshmukh Krishi Sanjivani Prakalp,pocra,"The project aims to enhance climate-resilience and profitability of smallholder farming systems in 15 project districts of Maharashtra through promotion of climate resilient technology and commodity value chain across approximately 5,000 drought-prone and/or sodicity/salinity affected villages.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Nandi Shala Yojana,nsymp,"The scheme aims to improve local cattle breeds through natural insemination. Under this, indigenous breeding bulls are provided on subsidy to livestock farmers in rural Gram Panchayats.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Nariwal Paudha Vitaran Yojana,npvy,"The scheme aimed at promoting coconut cultivation in non-traditional areas like Bihar. Under this scheme, farmers and urban residents can obtain coconut saplings at a subsidized rate to encourage widespread plantation and utilization.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Agriculture Insurance Scheme,nai,"The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Agriculture Market,e-nam,"Launched on 14th April 2016, e-NAM is a pan-India electronic trading platform that links existing mandis to create a unified online market for agricultural commodities, promoting “One Nation One Market” and enabling transparent, efficient, and nationwide agri-trade.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Bamboo Mission,nbm,Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree. ,,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Beekeeping & Honey Mission,nbhm,National Beekeeping & Honey Mission (NBHM) was announced as part of the Atmanirbhar Bharat Abhiyaan and aims  for the overall promotion & development of scientific beekeeping in the country to achieve the goal of ‘Sweet Revolution’ which is being implemented through National Bee Board (NBB),,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Food Security Mission NFSM,nfsmcss,"National Food Security Mission was launched in 2007-08 to increase the production of rice, wheat and pulses. Later, coarse cereals, nutri cereals, commercial crops (sugarcane, jute, and cotton) were also added to the mission.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Livestock Mission: Entrepreneurship Development Scheme - Uttarakhand Livestock Development Board,nlmeds,"The scheme aims to promote employment generation through entrepreneurship development in the small ruminants, poultry, piggery, and the fodder sectors by providing financial and institutional support to individuals and organized groups under the National Livestock Mission.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Livestock Mission: Establishment of State Semen Bank,essb,"""Establishment of State Semen Bank (Genetic Improvement of Sheep and Goat breeds)"" aims at the genetic improvement of sheep/goat breeds through selective breeding by propagation of superior male germplasm through artificial insemination. ",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Livestock Mission: Genetic Improvement of Pig Breeds - Import of Exotic Pig Germplasm,iepg,The scheme aims to enhance indigenous pig productivity through genetic upgradation. The scheme supports the establishment of pig semen collection and processing labs and the import of exotic pig germplasm.,,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Livestock Mission: Livestock Insurance Scheme - Uttarakhand Livestock Development Board,lisulm," The scheme aims to provide insurance coverage to livestock in order to protect cattle rearers against the loss of their animals due to death, thereby encouraging them to adopt better animal husbandry practices.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY),nmsa-pkvy,"The scheme ""National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY)"" is a Centrally Sponsored Scheme that aims to promote organic farming practices through providing financial assistance for organic inputs and infrastructure support to farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission for Sustainable Agriculture - Reinforced Area Development,nmsa-radg,"The scheme ""National Mission for Sustainable Agriculture - Reinforced Area Development"" aims to promote sustainable agriculture through improved agronomic practices, efficient resource use, and integrated farming systems by providing financial support to all farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil- Oil Palm: Custom Hiring Centre cum Harvester Groups,nmoechchg,"The scheme component ""Custom Hiring Centre cum Harvester Groups"" under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependency on imports by supporting farmers with equipment and facilities.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil- Oil Palm: Drip Irrigation,nmoedp,"The scheme component ""Drip Irrigation"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in Gujarat and reduce imports from abroad by providing drip irrigation facilities to farmers under subsidy norms.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil- Oil Palm: Establishment of Seed Garden,nmeoesg,"The scheme component ""Establishment of Seed Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in Gujarat and reduce imports by establishing seed gardens through infrastructure support to farmers.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil- Oil Palm: Harvesting Tools,nmoeht,"The scheme component ""Harvesting Tools"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce its import by providing subsidies for various harvesting tools to farmers in the state.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil–Oil Palm: Maintenance and Input Cost for Intercropping in Oilpalm,nmoepmicio,"The scheme component ""Maintenance and Input Cost for Intercropping in Oilpalm"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce imports by providing financial assistance for maintenance and intercropping.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil- Oil Palm: Nursery,nmoen,"The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil–Oil Palm: Planting Materials,nmoeppm,"The scheme component ""Planting Materials"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in the state and reduce dependency on imports through financial assistance to farmers for procuring planting materials.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oil- Oil Palm: Replanting of Old Oil Palm Garden,nmoerop,"The scheme component ""Replanting of Old Oil Palm Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to enhance oil palm production and lower dependency on imports by supporting farmers in uprooting and replanting old oil palm gardens.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
National Mission on Edible Oils- Oil Palm,nmeo-op,"The Mission was launched with the aim to enhance the edible oilseeds production and oils availability in the country by harnessing Oil Palm area expansion, increasing CPO production and to reduce import burden on edible oils. ",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Mission on Natural Farming,nmnf,"To motivate farmers to adopt chemical free farming and enhance the reach of natural farming, the Government has formulated National Mission on Natural Farming (NMNF) as a separate and independent scheme from 2023-24 by up scaling the Bhartiya Prakritik Krishi Paddati (BPKP).",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Scheme Of Welfare Of Fishermen,nswf,"The National Scheme of Welfare of Fishermen provides financial assistance to fishermen. They can use these for constructing houses and community halls for both recreation and work purposes. Further, through the amount availed under this scheme, fishermen can install tube wells.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
National Water Awards,nwa,The objective of the National Water Awards is to encourage the stakeholders to adopt a holistic approach toward water resource management in the country as surface water and groundwater play a signiﬁcant role in the water cycle. ,,,,,,central,active,myscheme,,,,,,,,,f,,,,
Nationwide Artificial Insemination Programme,naip,"The Nationwide Artificial Insemination Programme (NAIP), is a flagship program of the Department of Animal Husbandry and Dairying. The objective of the programme is to increase the productivity of livestock by improving the genetic potential through artificial insemination. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Naye Fal Bagicho Ki Sthapana,nfbks,"Under the ""Naye Fal Bagecho Ki Sthapana"" subsidies to Increase farmers' income by facilitating the cultivation of high-value fruit crops that have a potentially higher market demand and profitability compared to traditional crops.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Niji Talabon Ka Jirnoddhar Ki Yojana,ntkjky,"The government of Bihar launched the ""Niji Talabon Ka Jirnoddhar Ki Yojana"" scheme aims to enhance the water holding capacity of private ponds to boost fish productivity & production as well as provide benefits to private fish farmers through the expansion/renovation of their ponds.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Old Age Pension Scheme under Chief  Minister’s Uzhavar Padhukappu Thittam,oapsucmupt,"The 'Old Age Pension Scheme under Chief Minister’s Uzhavar Padhukappu Thittam' is a state scheme. The scheme aims to give a pension of ₹1,000/- to old-age farmers and destitute agricultural labourers who have membership card under CMPUT.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
One Tea Scheme,otsm,The objective of the One Tea Scheme is to ensure a minimum guaranteed price for fresh tea leaves to protect tea farmers from financial losses and provide economic stability. It also aims to support bought-leaf factories and promote sustainable tea cultivation in Meghalaya.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI),ota-sfi,"“One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI)”  by the Agriculture Department, Government of West Bengal aims to aid the farmers in procuring manually operated small farm implements necessary for agricultural operations.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Organic Manure Scheme,oms,The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Organizing Block Demonstration,obd,"The “Organizing Block Demonstration” scheme provides a 50% subsidy or ₹2,000/- (whichever is less) on input costs for demonstrating the cultivation of Pulses crops over 5 hectares.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Organizing Block Demonstration on Polythene Mulch Technology in Groundnut,obdopmtig,"The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Organizing Block Demonstration Through Department And Also Through TNAU,obdtdaattnau,"The scheme ""Organizing Block Demonstration Through Department And Also Through TNAU"" offers grants to farmers for maize cultivation. Farmers can avail a subsidy for demonstrating cultivation practices on a 1-hectare plot.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme""",ostps-atisis,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Package for strengthening to sugar co-operatives as may be policy decided by the State Government,pfssco,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support sugar co-operatives by providing financial assistance for modernization, diversification, organic fertilizer production to enhance sugarcane farming and the sugar industry.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Paddy Procurement Scheme Jharkhand,ppsj,"The ""Paddy Procurement Scheme"" 2012-13"" by the Food, Public Distribution, and Consumer Affairs Department, Government of Jharkhand, ensures that farmers receive minimum support price for paddy procurement, preventing distress sales and supporting food security.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Paddy Transplantor Machine se Dhan Ropayee par Anudan,ptmsdrpa,"The scheme aims to promote mechanized paddy transplantation under the Agriculture Development and Farmer Welfare and Biotechnology Department, Chhattisgarh. It provides ₹3,000 per acre for land preparation, including ploughing and weeding, up to 2 hectares.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Panchayat Secretariat Strengthening Scheme,psss,"The ""Panchayat Secretariat Strengthening Scheme"" by the Panchayati Raj Department, Government of Jharkhand, aims to provide financial assistance of ₹15,000 per month to each Gram Panchayat for operational and maintenance purposes, ensuring efficient governance at the grassroots level.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pandit Deen Dayal Upadhyay Samoohik Pashudhan Beema Yojana,pdduspby,"The scheme ""Pandit Deen Dayal Upadhyay Samoohik Pashudhan Beema Yojana"" aims to provide socio-economic security to livestock farmers in the state by covering livestock under an insurance scheme. Financial protection against the risk of loss due to animal death is extended to livestock owners.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Paramparagat Krishi Vikas Yojana,pkvy,"The Paramparagat Krishi Vikas Yojana (PKVY), launched in 2015, is an extended component of Soil Health Management (SHM) under the Centrally Sponsored Scheme (CSS), National Mission on Sustainable Agriculture (NMSA). ",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Paramparagat Krishi Vikas Yojana - Uttarakhand,pkvyuk,"The scheme aims to promote & support organic farming among farmers in Uttarakhand. The scheme provides financial assistance of ₹9,000/- per hectare to farmers for the purchase of organic inputs, including seeds, compost, green manure, biofertilizers, biopesticides, neem oil, etc. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pashu Bima Yojana,pby,"The scheme 'Pashu Bima Yojna' was launched by the Directorate of Dairy Development, Government of Bihar. The scheme aims to provide insurance security to farmers against the financial loss caused by cattle death and to improve the rural economy. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pashudhan Mitra Scheme,pmsch,"Launched on 20th June 2013, the scheme ""Pashudhan Mitra Scheme1"" by the Animal Husbandry Department, Govt of Chhattisgarh, aims to expand veterinary and breeding services, strengthen service delivery, and provide incentive honorariums to Pashudhan Mitras for livelihood support.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pashupalan (GBCDC),pashupalangbcdc,The scheme aims to provide an amount for animal husbandry activities. Low-interest loans are provided to Pashu Palaks.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pashu Palan Yojana (GSKVN),ahsgskvn,"Under this scheme, loans of up to ₹1,00,000 are provided to sanitation workers and their dependents at an interest rate of 6% for self-employment in animal husbandry or related activities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pashu Palan Yojana (GTKVN),pgtkvn,"The scheme aims to enhance the livelihoods of Thakor and Koli communities by providing financial assistance for animal husbandry activities such as dairy farming. Under this scheme, loans of up to ₹1,00,000/- are provided for the purchase of milch animals such as cows and buffaloes.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana,pktnampy,"The ""Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana"" aims to promote fisheries by constructing ponds and setting up related supporting units in plateau-dominated districts. The initiative is designed to create new employment opportunities and provide a means of livelihood for farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Payment in the Owner-Occupied / Public Forestry Case,ptoopfc,"Under this scheme, farmers are enabled to sell teak and sal wood to the government at notified rates, ensuring fair compensation through timely e-payment.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Payment Related to Wheat Procurement,prtwp,The scheme aims to ensure timely online payment to farmers for wheat sold at government procurement centers through the Just-In-Time (JIT) system directly into their bank accounts.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Phool Vikash Yojana,fvy,The scheme aims to provide financial benefits to farmers for the cultivation of marigold flowers. It is available in 15 districts of the state and offers a 50% subsidy for up to 4 hectares.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pipes Carrying Water From Source To Field,pcwfsf,"The scheme provides subsidies to farmers for installing pipes to carry water from the source to their fields, offering a 50% subsidy or up to ₹15,000/- for pipes (up to 800m), including PVC, HDPE, and others.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Pipes Carrying Water From Source To Field-Pulses ISPOM,pcwfstfpi,"The scheme provides subsidies to farmers for installing pipes to carry water from the source to their fields, offering a 50% subsidy or up to ₹15,000/- for pipes (up to 800m), including PVC, HDPE, and others.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Planning for Best Livestock Keeper's Award Function,pobahad,"The ""Planning for Best Livestock Keeper's Award Function"" scheme by the Agriculture, Farmers Welfare and Cooperation Department honors outstanding pastoralists in Gujarat by awarding them at Taluka, District, and State levels for their excellence in animal husbandry.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Plantation Crop Development Scheme,pcds,"The objectives of the scheme are to boost up the area and production of all plantation crops like Arecanut, Cashewnut, Coconut, Pineapple etc., and to provide a 50 % subsidy for planting materials and construction of a soakage tank.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Planting Assistance Program for Hybrid Seeds of Vegetable Crops,paphsvc,"This scheme offers financial assistance to farmers for the plantation of hybrid seeds and promotion of natural farming in vegetable crops across Gujarat.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Plant Protection including Integrated Pest Management Scheme,ipm,The objective of the scheme is to mobilize and support farmers to use bio-pesticides and bio- agents for plant health management through distribution of bio-pesticides and other IPM tools and through sale of Sprayers and Plant Protection Equipment to encourage organic crop production.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Plant Protection Scheme,pps,The objective of the scheme is to control pests and diseases including weeds and rodents of horticultural crops by the distribution of bio-pesticides/Bio-agents and equipment at 50% subsidy.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Plastic Mulching,pm,"Under the Plastic Mulching scheme, the Rajasthan government provided subsidies to farmers. In this, the soil surface of the field is covered with plastic film. Farmer can also use crop residues for laying mulch.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Plastic Tunnel (Lo-Tunnel),ptlt,Plastic tunnels (low tunnels) provide benefits to farmers. These are protected structures created by covering each crop bed with a low-lying plastic sheet after the crops have been planted in the main field.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of Fish Kiosks Including Kiosks of Aquarium/Ornamental Fish-Haryana,scfkikaofhr,"The scheme aims to provide central assistance for the construction of fish kiosks, including those for aquarium/ornamental fish.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of Fish Retail Markets including Ornamental Fish/Aquarium Markets - Haryana,pmmsycrmhr,"The scheme aims to support the construction of fish retail markets, including those for ornamental fish and aquariums. Through this scheme, financial assistance for project costs is provided to individual beneficiaries.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of Ice Plant/Storage of Minimum 10 Tonne Capacity - Gujarat,pmmsyctguj,"The scheme aims to provide financial assistance for the construction of ice plants/storage units of at least 10 tonne capacity, supporting fishermen and sellers to maintain fish in fresh and hygienic condition.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of New Grow Out Ponds - Haryana,cngophr,"The scheme aims to expand fisheries in various urban and semi-urban areas through the construction of new grow-out ponds. Through this scheme, subsidies are provided for the construction of new grow-out ponds to beneficiaries who are engaged in fisheries.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of New ponds for Saline /Alkaline areas-Haryana,scnpsaahr,"The scheme aims to expand fisheries in various urban and semi-urban areas. Through this scheme, subsidies for the construction of new ponds and central financial assistance for the initial fish crop on newly constructed ponds are provided to beneficiaries. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of New Rearing ponds - Haryana,cnrphr,"The scheme aims to expand fisheries in various urban/semi-urban areas. Through this scheme, financial assistance and subsidies are provided for the construction of new rearing ponds.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of  Plant/Storage of Minimum 20 Tonne Capacity - Gujarat,pmmsyc2guj,"The scheme aims to provide financial support for the construction of 20-tonne capacity ice plant/storage units, ensuring hygienic fish storage and improving the income of beneficiaries.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Construction of  Plant/Storage of Minimum 30 Tonne Capacity - Gujarat,pmmsycp3guj,"The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for constructing 30-tonne capacity plants or storage units.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Cycle with Ice Boxes-Haryana,cwibhr,"The scheme aims to provide central assistance for the cost of cycles with ice boxes for fisheries activities. Through this scheme, central assistance is provided for newly purchased cycles with ice boxes for the initial crop.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY:  Establishment of Bio-toilets in mechanised fishing vessels - Gujarat,pmmsyebtmfvguj,"The scheme aims to provide sanitation facilities on mechanised fishing vessels. It provides financial assistance depending on category, with once-in-a-lifetime eligibility.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Establishment of large RAS / Biofloc culture system - Haryana,eol,"The scheme provides capital assistance for setting up large-scale Recirculatory Aquaculture Systems (RAS) and Biofloc culture systems to promote high-yield, sustainable fish farming.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Establishment of Medium RAS / Biofloc culture system - Haryana,eom,The scheme provides capital assistance to fish farmers and entrepreneurs for establishing medium-scale Recirculatory Aquaculture Systems (RAS) and Biofloc systems.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
PMMSY: Establishment of New Freshwater Fin Fish Hatcheries-Haryana,enffhr,"The scheme aims to support the establishment of new freshwater finfish hatcheries. Through this scheme, financial assistance in the form of subsidies is provided to beneficiaries for setting up these hatcheries.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
